Date,Region,Lead Time (Days)
2024/1/1,Beijing,6.952189148301203
2024/1/2,Beijing,3.7656375112653375
2024/1/3,Beijing,6.712585342183833
2024/1/4,Beijing,7.751021766978745
2024/1/5,Beijing,6.46842181418529
2024/1/6,Beijing,7.053385653355859
2024/1/7,Beijing,6.806147618118536
2024/1/8,Beijing,5.834795141278957
2024/1/9,Beijing,3.1338841998561726
2024/1/10,Beijing,5.485754855009925
2024/1/11,Beijing,8.591955391993192
2024/1/12,Beijing,7.8814715868643646
2024/1/13,Beijing,4.011525907778562
2024/1/14,Beijing,3.838177463920439
2024/1/15,Beijing,4.213717476632147
2024/1/16,Beijing,6.1118168893774
2024/1/17,Beijing,6.620101930257583
2024/1/18,Beijing,5.945434833130045
2024/1/19,Beijing,4.184464934078151
2024/1/20,Beijing,4.70846593719496
2024/1/21,Beijing,2.957857298970974
2024/1/22,Beijing,7.289440359634027
2024/1/23,Beijing,4.005660470139947
2024/1/24,Beijing,5.713187061779732
2024/1/25,Beijing,5.056080652782033
2024/1/26,Beijing,7.476221716872209
2024/1/27,Beijing,8.772573013675508
2024/1/28,Beijing,6.589290557457794
2024/1/29,Beijing,9.934855204268331
2024/1/30,Beijing,4.0992208473702725
2024/1/31,Beijing,6.52668780957946
2024/2/1,Beijing,4.352217953669261
2024/2/2,Beijing,2.737478248226801
2024/2/3,Beijing,3.5126873863923054
2024/2/4,Beijing,5.721870005037604
2024/2/5,Beijing,7.432204129874858
2024/2/6,Beijing,2.7684760641028623
2024/2/7,Beijing,4.075954820406153
2024/2/8,Beijing,7.331634249674071
2024/2/9,Beijing,5.706816101995322
2024/2/10,Beijing,3.0581171318338063
2024/2/11,Beijing,3.8118088023066994
2024/2/12,Beijing,3.5301034221004253
2024/2/13,Beijing,6.347245451364043
2024/2/14,Beijing,9.961406461051105
2024/2/15,Beijing,5.27506576583993
2024/2/16,Beijing,6.960304656088382
2024/2/17,Beijing,3.8056290295020947
2024/2/18,Beijing,2.7504780098357964
2024/2/19,Beijing,9.953741978001421
2024/2/20,Beijing,4.368538093301848
2024/2/21,Beijing,7.883963696318676
2024/2/22,Beijing,6.093348820591075
2024/2/23,Beijing,5.480245716962524
2024/2/24,Beijing,8.908012496869425
2024/2/25,Beijing,7.000289673666808
2024/2/26,Beijing,7.969958194517178
2024/2/27,Beijing,5.564310550690543
2024/2/28,Beijing,9.612930112638608
2024/3/1,Beijing,9.507746927342419
2024/3/2,Beijing,8.614955982058799
2024/3/3,Beijing,4.930707532451925
2024/3/4,Beijing,9.833112779162153
2024/3/5,Beijing,6.77558278538623
2024/3/6,Beijing,7.768323999248674
2024/3/7,Beijing,3.925999203200795
2024/3/8,Beijing,3.8679449991851342
2024/3/9,Beijing,8.15528989253586
2024/3/10,Beijing,6.037980999729649
2024/3/11,Beijing,5.862657806626698
2024/3/12,Beijing,4.209714506635289
2024/3/13,Beijing,9.742313443958153
2024/3/14,Beijing,7.028652913710575
2024/3/15,Beijing,4.535143612767772
2024/3/16,Beijing,6.825118833885176
2024/3/17,Beijing,3.880407009505232
2024/3/18,Beijing,2.712746757256168
2024/3/19,Beijing,3.331144097061406
2024/3/20,Beijing,5.9003053303927775
2024/3/21,Beijing,8.98416465470776
2024/3/22,Beijing,6.587343926947036
2024/3/23,Beijing,4.505356732200806
2024/3/24,Beijing,2.4815208878141988
2024/3/25,Beijing,6.507096586949322
2024/3/26,Beijing,7.370605277446199
2024/3/27,Beijing,4.828361618623811
2024/3/28,Beijing,4.136151122125271
2024/3/29,Beijing,8.962486533115122
2024/3/30,Beijing,5.210153836438328
2024/3/31,Beijing,7.617275998727098
2024/4/1,Beijing,4.971677367048061
2024/4/2,Beijing,2.8711261949448694
2024/4/3,Beijing,4.055983588565129
2024/4/4,Beijing,9.564439071177762
2024/4/5,Beijing,9.862767934392037
2024/4/6,Beijing,7.615822964687484
2024/4/7,Beijing,4.517072946496346
2024/4/8,Beijing,3.74458923665206
2024/4/9,Beijing,7.91411573571536
2024/4/10,Beijing,5.321559561199222
2024/4/11,Beijing,8.860313606741915
2024/4/12,Beijing,3.002071275333819
2024/4/13,Beijing,9.359902349266271
2024/4/14,Beijing,4.3183418543204555
2024/4/15,Beijing,9.431940521302824
2024/4/16,Beijing,5.008755736044417
2024/4/17,Beijing,6.0101367314733025
2024/4/18,Beijing,4.773746975809308
2024/4/19,Beijing,9.802104109494145
2024/4/20,Beijing,6.953227396163795
2024/4/21,Beijing,7.637983462542849
2024/4/22,Beijing,6.0868858293210035
2024/4/23,Beijing,6.418934279536409
2024/4/24,Beijing,8.180134839056514
2024/4/25,Beijing,2.5126748426315393
2024/4/26,Beijing,4.176776979398008
2024/4/27,Beijing,9.28554673330523
2024/4/28,Beijing,7.958185809423094
2024/4/29,Beijing,7.890228172671122
2024/4/30,Beijing,7.801582195171294
2024/5/1,Beijing,3.4374503698369514
2024/5/2,Beijing,9.33166312241655
2024/5/3,Beijing,3.7146797274575407
2024/5/4,Beijing,4.254003934265105
2024/5/5,Beijing,7.155620574160126
2024/5/6,Beijing,6.605208475921671
2024/5/7,Beijing,9.034327466685035
2024/5/8,Beijing,7.014963750085454
2024/5/9,Beijing,3.4502026756617328
2024/5/10,Beijing,7.117499918784618
2024/5/11,Beijing,5.025826718330656
2024/5/12,Beijing,3.7949208460170345
2024/5/13,Beijing,6.344387135425556
2024/5/14,Beijing,4.306998421502943
2024/5/15,Beijing,6.495958461461185
2024/5/16,Beijing,4.262792169038062
2024/5/17,Beijing,2.0686135668370325
2024/5/18,Beijing,9.441417652244954
2024/5/19,Beijing,9.566388467061678
2024/5/20,Beijing,8.70091779623288
2024/5/21,Beijing,3.278053509498661
2024/5/22,Beijing,5.98804014317757
2024/5/23,Beijing,5.823410544559943
2024/5/24,Beijing,4.332086178014239
2024/5/25,Beijing,2.628491540925646
2024/5/26,Beijing,7.309702414859298
2024/5/27,Beijing,3.3649629044287375
2024/5/28,Beijing,8.436649479507206
2024/5/29,Beijing,6.911117057175851
2024/5/30,Beijing,6.487620970770139
2024/5/31,Beijing,5.8609956597066155
2024/6/1,Beijing,9.737208334
2024/6/2,Beijing,2.285695307850517
2024/6/3,Beijing,7.7837502725485646
2024/6/4,Beijing,5.788629664124861
2024/6/5,Beijing,8.972213512854921
2024/6/6,Beijing,3.1632593737241477
2024/6/7,Beijing,9.94207974528023
2024/6/8,Beijing,9.919735064397678
2024/6/9,Beijing,4.449192838157576
2024/6/10,Beijing,5.192110754393559
2024/6/11,Beijing,5.882623869512368
2024/6/12,Beijing,9.126744724682085
2024/6/13,Beijing,7.911033691891968
2024/6/14,Beijing,9.596681437125259
2024/6/15,Beijing,4.486735664849356
2024/6/16,Beijing,4.547107047887793
2024/6/17,Beijing,9.584134390022097
2024/6/18,Beijing,9.794421990091223
2024/6/19,Beijing,3.434668275794415
2024/6/20,Beijing,2.681166827731605
2024/6/21,Beijing,3.935534356421603
2024/6/22,Beijing,4.501982288767336
2024/6/23,Beijing,6.036283915058875
2024/6/24,Beijing,8.092209785992644
2024/6/25,Beijing,9.086814818273568
2024/6/26,Beijing,4.036340388734222
2024/6/27,Beijing,6.224005994902259
2024/6/28,Beijing,7.095547662147609
2024/6/29,Beijing,2.689603578453453
2024/1/1,Shanghai,5.0586960529551055
2024/1/2,Shanghai,5.2585406351826425
2024/1/3,Shanghai,5.294228280184524
2024/1/4,Shanghai,8.447662584666631
2024/1/5,Shanghai,2.7456509986611515
2024/1/6,Shanghai,2.9598410504300876
2024/1/7,Shanghai,8.123224993683529
2024/1/8,Shanghai,2.2333525870478406
2024/1/9,Shanghai,5.775672114005667
2024/1/10,Shanghai,6.41953792808411
2024/1/11,Shanghai,4.128403803735307
2024/1/12,Shanghai,5.331868857835746
2024/1/13,Shanghai,5.064658865059461
2024/1/14,Shanghai,8.702609609831146
2024/1/15,Shanghai,5.605846664307141
2024/1/16,Shanghai,2.482215311553757
2024/1/17,Shanghai,2.048678234299315
2024/1/18,Shanghai,6.419294512424534
2024/1/19,Shanghai,8.291925935879767
2024/1/20,Shanghai,7.952996598117652
2024/1/21,Shanghai,2.1697443058179378
2024/1/22,Shanghai,5.230720098852985
2024/1/23,Shanghai,2.4683301314584973
2024/1/24,Shanghai,4.300055152672307
2024/1/25,Shanghai,2.4439576327568613
2024/1/26,Shanghai,2.287319866699441
2024/1/27,Shanghai,5.54119491251408
2024/1/28,Shanghai,3.009993291552302
2024/1/29,Shanghai,4.3617659441854695
2024/1/30,Shanghai,5.247313007892375
2024/1/31,Shanghai,7.573432034805611
2024/2/1,Shanghai,6.308047952235467
2024/2/2,Shanghai,3.652543010082904
2024/2/3,Shanghai,4.11826751129816
2024/2/4,Shanghai,8.413880767634272
2024/2/5,Shanghai,5.437924949054343
2024/2/6,Shanghai,7.667185044266514
2024/2/7,Shanghai,9.800331979434288
2024/2/8,Shanghai,7.606165345477986
2024/2/9,Shanghai,3.424790017481657
2024/2/10,Shanghai,5.532751300122056
2024/2/11,Shanghai,4.882573567393339
2024/2/12,Shanghai,5.141110089311225
2024/2/13,Shanghai,2.688219940363177
2024/2/14,Shanghai,5.884260682083475
2024/2/15,Shanghai,4.3897684452933525
2024/2/16,Shanghai,8.4458190293592
2024/2/17,Shanghai,9.599936232850041
2024/2/18,Shanghai,2.7324861863613457
2024/2/19,Shanghai,8.232519111475945
2024/2/20,Shanghai,8.91225919685884
2024/2/21,Shanghai,4.3885772572397395
2024/2/22,Shanghai,8.068112264507121
2024/2/23,Shanghai,3.859483647948969
2024/2/24,Shanghai,6.144772621216357
2024/2/25,Shanghai,4.817681321746598
2024/2/26,Shanghai,6.638059988366562
2024/2/27,Shanghai,4.0143233912976335
2024/2/28,Shanghai,5.50629834091883
2024/3/1,Shanghai,5.990277887393273
2024/3/2,Shanghai,6.687240540894267
2024/3/3,Shanghai,4.875330465050337
2024/3/4,Shanghai,9.653143614891396
2024/3/5,Shanghai,9.475851630237612
2024/3/6,Shanghai,8.851902871421697
2024/3/7,Shanghai,7.114373164645071
2024/3/8,Shanghai,5.535537896437642
2024/3/9,Shanghai,3.4660701603364874
2024/3/10,Shanghai,9.14881511672604
2024/3/11,Shanghai,8.313177951786729
2024/3/12,Shanghai,5.6951135698179005
2024/3/13,Shanghai,9.190652238135172
2024/3/14,Shanghai,2.971960556078434
2024/3/15,Shanghai,6.903762264734447
2024/3/16,Shanghai,2.890140595749327
2024/3/17,Shanghai,7.349323910629955
2024/3/18,Shanghai,2.734125257452252
2024/3/19,Shanghai,9.321362427736936
2024/3/20,Shanghai,4.521780715831587
2024/3/21,Shanghai,8.249461507730452
2024/3/22,Shanghai,5.126514204443217
2024/3/23,Shanghai,9.58762608513251
2024/3/24,Shanghai,3.6123821738737867
2024/3/25,Shanghai,5.481273516758082
2024/3/26,Shanghai,6.036687006577312
2024/3/27,Shanghai,4.648435693956267
2024/3/28,Shanghai,5.391580384483285
2024/3/29,Shanghai,9.95297994109903
2024/3/30,Shanghai,5.98119642571619
2024/3/31,Shanghai,4.294233378494997
2024/4/1,Shanghai,4.604816786809901
2024/4/2,Shanghai,4.237279332181709
2024/4/3,Shanghai,2.724435441816487
2024/4/4,Shanghai,8.632682686095901
2024/4/5,Shanghai,7.796910586807786
2024/4/6,Shanghai,6.080077109244799
2024/4/7,Shanghai,2.44666647528118
2024/4/8,Shanghai,5.95844656096458
2024/4/9,Shanghai,6.590062387057641
2024/4/10,Shanghai,5.460555706632231
2024/4/11,Shanghai,5.01028563522757
2024/4/12,Shanghai,3.7496403312064315
2024/4/13,Shanghai,3.1998193008439832
2024/4/14,Shanghai,7.359800093737682
2024/4/15,Shanghai,7.486887100645984
2024/4/16,Shanghai,3.8906547798504336
2024/4/17,Shanghai,6.2984731320209235
2024/4/18,Shanghai,3.427611412758851
2024/4/19,Shanghai,4.848920590339247
2024/4/20,Shanghai,5.869249945458782
2024/4/21,Shanghai,7.628851463656895
2024/4/22,Shanghai,3.999760347968783
2024/4/23,Shanghai,4.156127114624418
2024/4/24,Shanghai,3.274418617763046
2024/4/25,Shanghai,6.05882716264333
2024/4/26,Shanghai,9.388684973360558
2024/4/27,Shanghai,5.02949609723436
2024/4/28,Shanghai,6.783462765343591
2024/4/29,Shanghai,4.47990417358846
2024/4/30,Shanghai,2.8400776009456994
2024/5/1,Shanghai,4.859985427676301
2024/5/2,Shanghai,2.9190797062261193
2024/5/3,Shanghai,3.920607830084765
2024/5/4,Shanghai,5.6589113405812475
2024/5/5,Shanghai,6.858457244658106
2024/5/6,Shanghai,2.974602976183575
2024/5/7,Shanghai,8.82260318661601
2024/5/8,Shanghai,8.522083804295978
2024/5/9,Shanghai,5.8130081653591406
2024/5/10,Shanghai,8.658904365161293
2024/5/11,Shanghai,7.9401534235621245
2024/5/12,Shanghai,6.214936326153947
