Date,Region,Air Shipment Cost,Sea Shipment Cost,Rail Shipment Cost
2024/1/1,Beijing,5946,9870,8872
2024/1/2,Beijing,1515,4280,1776
2024/1/3,Beijing,1985,4577,3115
2024/1/4,Beijing,6651,9350,7795
2024/1/5,Beijing,3350,4406,4032
2024/1/6,Beijing,2063,5349,4771
2024/1/7,Beijing,6238,2090,5339
2024/1/8,Beijing,4075,9304,3548
2024/1/9,Beijing,3168,2341,4618
2024/1/10,Beijing,6896,4956,7679
2024/1/11,Beijing,2326,8341,4533
2024/1/12,Beijing,5695,9200,5773
2024/1/13,Beijing,3348,4643,2069
2024/1/14,Beijing,3287,9314,7915
2024/1/15,Beijing,1085,3155,2758
2024/1/16,Beijing,4317,4308,3886
2024/1/17,Beijing,2589,6058,6389
2024/1/18,Beijing,6525,2471,7400
2024/1/19,Beijing,7341,5767,2909
2024/1/20,Beijing,6996,5563,6204
2024/1/21,Beijing,1683,2201,5734
2024/1/22,Beijing,1673,9201,7660
2024/1/23,Beijing,7006,4500,4524
2024/1/24,Beijing,4530,4393,3679
2024/1/25,Beijing,6044,4725,7627
2024/1/26,Beijing,6691,6610,6341
2024/1/27,Beijing,2993,6595,5948
2024/1/28,Beijing,7257,7045,7597
2024/1/29,Beijing,7640,5276,7171
2024/1/30,Beijing,5524,4437,6713
2024/1/31,Beijing,2119,8782,3869
2024/2/1,Beijing,1572,3557,4803
2024/2/2,Beijing,4128,7778,2815
2024/2/3,Beijing,4211,6150,6221
2024/2/4,Beijing,5313,5155,8804
2024/2/5,Beijing,1936,9630,5056
2024/2/6,Beijing,3768,3154,2894
2024/2/7,Beijing,6190,9466,4968
2024/2/8,Beijing,3539,4608,5815
2024/2/9,Beijing,1216,7173,6536
2024/2/10,Beijing,7070,4311,6033
2024/2/11,Beijing,3316,8221,5761
2024/2/12,Beijing,4622,6406,7229
2024/2/13,Beijing,5644,4600,7879
2024/2/14,Beijing,7152,9893,3052
2024/2/15,Beijing,7588,6567,8570
2024/2/16,Beijing,2137,4220,4565
2024/2/17,Beijing,7053,7703,4608
2024/2/18,Beijing,2792,4209,2548
2024/2/19,Beijing,5376,7364,3532
2024/2/20,Beijing,2665,7942,4433
2024/2/21,Beijing,5675,9532,2672
2024/2/22,Beijing,1198,3603,8127
2024/2/23,Beijing,6083,5421,6915
2024/2/24,Beijing,6057,5989,7954
2024/2/25,Beijing,5559,5776,3816
2024/2/26,Beijing,6281,4108,4221
2024/2/27,Beijing,1633,8205,2808
2024/2/28,Beijing,2523,4479,8593
2024/3/1,Beijing,3027,4503,5400
2024/3/2,Beijing,1491,6974,6348
2024/3/3,Beijing,6830,9974,8573
2024/3/4,Beijing,2962,9849,6095
2024/3/5,Beijing,4280,9875,1868
2024/3/6,Beijing,4575,3335,8697
2024/3/7,Beijing,5259,5077,3528
2024/3/8,Beijing,6329,2564,7133
2024/3/9,Beijing,7393,6927,3322
2024/3/10,Beijing,3720,9019,5123
2024/3/11,Beijing,6374,8856,7917
2024/3/12,Beijing,7849,2304,5304
2024/3/13,Beijing,4175,5680,7749
2024/3/14,Beijing,6689,4276,3660
2024/3/15,Beijing,3560,8145,6526
2024/3/16,Beijing,4852,2878,5887
2024/3/17,Beijing,6869,4369,2717
2024/3/18,Beijing,2330,3226,8449
2024/3/19,Beijing,1859,8864,6054
2024/3/20,Beijing,6568,3633,7645
2024/3/21,Beijing,6016,4057,4018
2024/3/22,Beijing,1771,2201,7428
2024/3/23,Beijing,7305,2398,5438
2024/3/24,Beijing,3723,9866,5102
2024/3/25,Beijing,6985,6711,5230
2024/3/26,Beijing,2243,2044,6932
2024/3/27,Beijing,2320,3080,7419
2024/3/28,Beijing,2525,3045,6700
2024/3/29,Beijing,5069,4318,5505
2024/3/30,Beijing,6541,4700,3268
2024/3/31,Beijing,3547,9132,4356
2024/4/1,Beijing,5078,6357,7803
2024/4/2,Beijing,1717,6869,8585
2024/4/3,Beijing,5649,2134,8091
2024/4/4,Beijing,1748,9152,4169
2024/4/5,Beijing,3101,8160,3284
2024/4/6,Beijing,5041,8618,7281
2024/4/7,Beijing,4164,8652,7179
2024/4/8,Beijing,3865,4902,6181
2024/4/9,Beijing,1106,4844,8369
2024/4/10,Beijing,4312,6184,5193
2024/4/11,Beijing,3774,2467,5846
2024/4/12,Beijing,6168,3914,2339
2024/4/13,Beijing,6593,4922,6667
2024/4/14,Beijing,6758,5941,8049
2024/4/15,Beijing,4842,4609,2286
2024/4/16,Beijing,4749,8797,5692
2024/4/17,Beijing,1142,2621,2931
2024/4/18,Beijing,3438,8267,1664
2024/4/19,Beijing,7904,9533,3003
2024/4/20,Beijing,5329,9755,8207
2024/4/21,Beijing,5343,7509,6465
2024/4/22,Beijing,5869,9356,7917
2024/4/23,Beijing,2704,3211,5994
2024/4/24,Beijing,6723,6261,5905
2024/4/25,Beijing,6355,2468,4471
2024/4/26,Beijing,4911,6820,6243
2024/4/27,Beijing,3118,2004,4772
2024/4/28,Beijing,3388,6154,4379
2024/4/29,Beijing,5736,4366,4965
2024/4/30,Beijing,5842,7491,5670
2024/5/1,Beijing,4838,4809,6111
2024/5/2,Beijing,2129,6182,6677
2024/5/3,Beijing,3402,2510,8683
2024/5/4,Beijing,4765,4353,3233
2024/5/5,Beijing,2972,2951,5328
2024/5/6,Beijing,3251,3723,2406
2024/5/7,Beijing,5031,4344,2829
2024/5/8,Beijing,6803,2948,2211
2024/5/9,Beijing,4073,3122,4306
2024/5/10,Beijing,4675,5133,2861
2024/5/11,Beijing,3811,2397,6520
2024/5/12,Beijing,5695,4364,3586
2024/5/13,Beijing,1443,9257,4830
2024/5/14,Beijing,3849,7599,1788
2024/5/15,Beijing,4236,7732,3216
2024/5/16,Beijing,6693,9610,1704
2024/5/17,Beijing,5683,8165,4837
2024/5/18,Beijing,2064,4181,8828
2024/5/19,Beijing,5297,9088,8702
2024/5/20,Beijing,6268,2386,2084
2024/5/21,Beijing,6113,3244,3735
2024/5/22,Beijing,2810,9744,4162
2024/5/23,Beijing,2749,6164,8502
2024/5/24,Beijing,1186,3960,5639
2024/5/25,Beijing,2135,5988,7678
2024/5/26,Beijing,6671,4101,2558
2024/5/27,Beijing,2378,2696,4402
2024/5/28,Beijing,2091,3960,8422
2024/5/29,Beijing,7960,4294,2470
2024/5/30,Beijing,3303,4509,6302
2024/5/31,Beijing,3242,2928,8849
2024/6/1,Beijing,5575,2270,2059
2024/6/2,Beijing,1122,9008,6933
2024/6/3,Beijing,4511,2864,7464
2024/6/4,Beijing,7522,8353,2966
2024/6/5,Beijing,2208,5686,5104
2024/6/6,Beijing,2421,9626,4282
2024/6/7,Beijing,4402,2978,5792
2024/6/8,Beijing,1788,3694,6087
2024/6/9,Beijing,2805,9943,7327
2024/6/10,Beijing,7788,6423,5917
2024/6/11,Beijing,7493,2485,4583
2024/6/12,Beijing,1764,3460,6707
2024/6/13,Beijing,3037,2653,7583
2024/6/14,Beijing,1918,8226,6553
2024/6/15,Beijing,2445,4198,3933
2024/6/16,Beijing,6434,7447,7003
2024/6/17,Beijing,3624,7846,6643
2024/6/18,Beijing,5399,8917,2772
2024/6/19,Beijing,1186,3247,3263
2024/6/20,Beijing,6674,5427,1608
2024/6/21,Beijing,2651,3861,3205
2024/6/22,Beijing,6256,9627,6882
2024/6/23,Beijing,1293,2322,6317
2024/6/24,Beijing,4081,9804,2403
2024/6/25,Beijing,1179,8793,2210
2024/6/26,Beijing,1065,2367,1896
2024/6/27,Beijing,6758,9992,8696
2024/6/28,Beijing,1798,3782,6973
2024/6/29,Beijing,2557,9630,3369
2024/1/1,Shanghai,5158,7885,4243
2024/1/2,Shanghai,7995,6738,4017
2024/1/3,Shanghai,2258,5882,2434
2024/1/4,Shanghai,2433,7181,3749
2024/1/5,Shanghai,4668,6467,2162
2024/1/6,Shanghai,7365,5916,6352
