Date,Region,Air Shipment Cost,Sea Shipment Cost,Rail Shipment Cost
2024/9/1,Beijing,2247,9424,7608
2024/9/2,Beijing,1432,8092,6616
2024/9/3,Beijing,1130,7966,8320
2024/9/4,Beijing,1153,2366,8150
2024/9/5,Beijing,4657,6899,3544
2024/9/6,Beijing,5877,6088,7219
2024/9/7,Beijing,4872,4241,5558
2024/9/8,Beijing,7358,8498,7365
2024/9/9,Beijing,2943,3188,7925
2024/9/10,Beijing,6999,5039,8936
2024/9/11,Beijing,7477,4226,8742
2024/9/12,Beijing,7539,8379,6890
2024/9/13,Beijing,3645,2713,2856
2024/9/14,Beijing,6604,9619,5805
2024/9/15,Beijing,2638,2355,4084
2024/9/16,Beijing,6567,9287,6360
2024/9/17,Beijing,4941,5771,5345
2024/9/18,Beijing,1806,2343,3904
2024/9/19,Beijing,5117,8165,7515
2024/9/20,Beijing,6480,3502,3735
2024/9/21,Beijing,4672,8787,2247
2024/9/22,Beijing,1501,3188,5228
2024/9/23,Beijing,5360,6360,2427
2024/9/24,Beijing,1220,2702,2513
2024/9/25,Beijing,1647,9653,2498
2024/9/26,Beijing,5593,6812,4422
2024/9/27,Beijing,6863,2126,7394
2024/9/28,Beijing,3005,4428,8638
2024/9/29,Beijing,4275,9634,2061
2024/9/30,Beijing,2813,5464,8975
2024/9/31,Beijing,1817,3434,3409
2024/10/1,Beijing,7223,4595,3446
2024/10/2,Beijing,3816,9462,3919
2024/10/3,Beijing,3073,3558,8127
2024/10/4,Beijing,5516,5709,1990
2024/10/5,Beijing,7409,7439,3936
2024/10/6,Beijing,3952,7859,2795
2024/10/7,Beijing,3688,9371,4697
2024/10/8,Beijing,1062,7308,6018
2024/10/9,Beijing,5751,9534,5219
2024/10/10,Beijing,2158,6848,4813
2024/10/11,Beijing,5007,4576,4908
2024/10/12,Beijing,3764,6379,6539
2024/10/13,Beijing,6208,4898,7831
2024/10/14,Beijing,7593,4114,2749
2024/10/15,Beijing,1815,7916,5631
2024/10/16,Beijing,4079,8852,3838
2024/10/17,Beijing,3048,4371,2967
2024/10/18,Beijing,4103,9965,5283
2024/10/19,Beijing,5743,7763,8632
2024/10/20,Beijing,5600,4909,5420
2024/10/21,Beijing,4743,6989,1912
2024/10/22,Beijing,3209,7441,5863
2024/10/23,Beijing,1789,4956,5399
2024/10/24,Beijing,1722,3195,6696
2024/10/25,Beijing,5386,3803,8878
2024/10/26,Beijing,7052,5847,7093
2024/10/27,Beijing,3485,7963,6168
2024/10/28,Beijing,5921,7685,4522
2024/11/1,Beijing,6361,8806,3965
2024/11/2,Beijing,2400,3169,3862
2024/11/3,Beijing,2276,4680,2080
2024/11/4,Beijing,4232,5961,7974
2024/11/5,Beijing,7190,8995,5914
2024/11/6,Beijing,3113,5210,8474
2024/11/7,Beijing,2810,9324,4649
2024/11/8,Beijing,7394,6065,6403
2024/11/9,Beijing,6886,6612,5286
2024/11/10,Beijing,5519,4664,8029
2024/11/11,Beijing,4879,4405,7866
2024/11/12,Beijing,7372,5331,2712
2024/11/13,Beijing,3695,7696,8481
2024/11/14,Beijing,2342,9219,6162
2024/11/15,Beijing,7747,3964,8789
2024/11/16,Beijing,6218,3118,6272
2024/11/17,Beijing,4903,8558,2547
2024/11/18,Beijing,3381,3893,4865
2024/11/19,Beijing,7294,5752,8110
2024/11/20,Beijing,7151,8617,1627
2024/11/21,Beijing,5823,9336,7183
2024/11/22,Beijing,2934,2365,7242
2024/11/23,Beijing,6835,8616,2873
2024/11/24,Beijing,4858,8538,8081
2024/11/25,Beijing,2889,5308,2929
2024/11/26,Beijing,2796,3420,4492
2024/11/27,Beijing,7977,8758,8682
2024/11/28,Beijing,4378,8643,3171
2024/11/29,Beijing,4245,9925,7501
2024/11/30,Beijing,6094,2298,6719
2024/11/31,Beijing,1596,8377,6983
2024/12/1,Beijing,6399,3396,3302
2024/12/2,Beijing,2425,7738,3583
2024/12/3,Beijing,1040,7497,8664
2024/12/4,Beijing,3751,7653,5253
2024/12/5,Beijing,2147,5841,4716
2024/12/6,Beijing,2988,5588,5204
2024/12/7,Beijing,3691,6540,8975
2024/12/8,Beijing,5710,5975,2229
2024/12/9,Beijing,6176,6647,8822
2024/12/10,Beijing,4913,4920,4582
2024/12/11,Beijing,7379,7213,8694
2024/12/12,Beijing,1415,6745,3400
2024/12/13,Beijing,6448,2255,3919
2024/12/14,Beijing,1393,3806,4007
2024/12/15,Beijing,1609,2452,5267
2024/12/16,Beijing,1900,2238,7493
2024/12/17,Beijing,7660,2821,1706
2024/12/18,Beijing,5426,4191,3255
2024/12/19,Beijing,1382,9380,6913
2024/12/20,Beijing,5417,5578,8392
2024/12/21,Beijing,1556,6600,6125
2024/12/22,Beijing,5084,6638,2734
2024/12/23,Beijing,1314,4108,1995
2024/12/24,Beijing,6916,3255,4242
2024/12/25,Beijing,6151,6259,8883
2024/12/26,Beijing,6421,7427,7003
2024/12/27,Beijing,1045,2312,3324
2024/12/28,Beijing,6116,4055,6838
2024/12/29,Beijing,5955,6658,7704
2024/12/30,Beijing,4705,2201,5012
2025/1/1,Beijing,5915,3274,6623
2025/1/2,Beijing,1619,8143,6661
2025/1/3,Beijing,6201,3634,5071
2025/1/4,Beijing,4797,6446,8330
2025/1/5,Beijing,5454,7482,7045
2025/1/6,Beijing,5126,6487,5360
2025/1/7,Beijing,4171,8122,8888
2025/1/8,Beijing,4352,9761,7739
2025/1/9,Beijing,2618,3864,4072
2025/1/10,Beijing,6723,5092,8445
2025/1/11,Beijing,1368,4171,3511
2025/1/12,Beijing,3497,4895,5065
2025/1/13,Beijing,5782,8661,5120
2025/1/14,Beijing,6773,9258,6401
2025/1/15,Beijing,4841,8470,3373
2025/1/16,Beijing,4951,4660,2996
2025/1/17,Beijing,2699,6807,5743
2025/1/18,Beijing,4595,6063,2221
2025/1/19,Beijing,6959,3486,2014
2025/1/20,Beijing,5911,5457,2883
2025/1/21,Beijing,7042,5774,6311
2025/1/22,Beijing,2394,6907,8382
2025/1/23,Beijing,3140,3528,8029
2025/1/24,Beijing,6485,7841,7404
2025/1/25,Beijing,1392,6410,6197
2025/1/26,Beijing,5291,8279,8172
2025/1/27,Beijing,5010,7357,4731
2025/1/28,Beijing,1433,6191,2670
2025/1/29,Beijing,1044,4825,1758
2025/1/30,Beijing,7103,4479,7494
2025/1/31,Beijing,4782,2935,1554
2025/2/1,Beijing,1371,9993,4135
2025/2/2,Beijing,7340,8676,7965
2025/2/3,Beijing,6055,7103,4233
2025/2/4,Beijing,6250,2914,7765
2025/2/5,Beijing,1652,8182,7393
2025/2/6,Beijing,2735,6375,2274
2025/2/7,Beijing,3543,3498,4226
2025/2/8,Beijing,7949,6033,5177
2025/2/9,Beijing,6534,3144,2417
2025/2/10,Beijing,7111,8893,2810
2025/2/11,Beijing,6933,9841,5236
2025/2/12,Beijing,2069,5735,4582
2025/2/13,Beijing,5740,8692,6806
2025/2/14,Beijing,6171,6609,2818
2025/2/15,Beijing,6120,6103,6783
2025/2/16,Beijing,2458,5031,7527
2025/2/17,Beijing,2538,3848,3585
2025/2/18,Beijing,6977,7785,7207
2025/2/19,Beijing,3538,3692,8903
2025/2/20,Beijing,5946,3225,7228
2025/2/21,Beijing,4542,8761,5944
2025/2/22,Beijing,6998,6899,6229
2025/2/23,Beijing,4534,7159,3443
2025/2/24,Beijing,1323,9195,5526
2025/2/25,Beijing,3224,4794,4908
2025/2/26,Beijing,6109,5036,1580
2025/2/27,Beijing,2246,6350,5293
2025/2/28,Beijing,6241,5626,4768
2025/2/29,Beijing,5769,4086,3080
2024/9/1,Shanghai,7675,9351,7628
2024/9/2,Shanghai,6946,7054,8783
2024/9/3,Shanghai,2734,7116,5863
2024/9/4,Shanghai,2741,3119,8741
2024/9/5,Shanghai,5548,7874,2016
2024/9/6,Shanghai,5260,3922,2609
2024/9/7,Shanghai,7164,6240,7270
2024/9/8,Shanghai,4116,8957,8434
2024/9/9,Shanghai,7507,3436,4390
2024/9/10,Shanghai,2602,2729,4019
2024/9/11,Shanghai,5212,5565,4738
2024/9/12,Shanghai,4885,8953,5612
2024/9/13,Shanghai,4290,6488,1625
2024/9/14,Shanghai,6138,6254,3987
2024/9/15,Shanghai,4920,8455,8415
2024/9/16,Shanghai,7885,8839,7629
2024/9/17,Shanghai,5832,2075,8955
2024/9/18,Shanghai,2750,2106,8455
2024/9/19,Shanghai,4093,5994,6879
2024/9/20,Shanghai,5255,4188,6984
2024/9/21,Shanghai,5547,5464,6552
2024/9/22,Shanghai,7500,8542,6378
2024/9/23,Shanghai,7349,6855,7383
2024/9/24,Shanghai,3236,4421,4795
2024/9/25,Shanghai,5364,7582,6582
2024/9/26,Shanghai,6026,6576,4492
2024/9/27,Shanghai,2743,4338,8403
2024/9/28,Shanghai,4481,3154,6410
2024/9/29,Shanghai,6831,4218,5102
2024/9/30,Shanghai,3087,7332,5616
2024/9/31,Shanghai,6262,6834,8040
2024/10/1,Shanghai,5028,3080,1663
2024/10/2,Shanghai,7724,5908,3348
2024/10/3,Shanghai,3396,6255,6300
2024/10/4,Shanghai,1123,5317,4973
2024/10/5,Shanghai,3708,7303,8557
2024/10/6,Shanghai,3264,5319,6517
2024/10/7,Shanghai,4081,8205,3115
2024/10/8,Shanghai,2260,6566,2336
2024/10/9,Shanghai,3469,5767,7196
2024/10/10,Shanghai,5444,3591,3116
2024/10/11,Shanghai,5253,7183,6634
2024/10/12,Shanghai,1551,2143,6053
2024/10/13,Shanghai,7556,7578,7065
2024/10/14,Shanghai,5795,5658,2398
2024/10/15,Shanghai,4786,7628,5911
2024/10/16,Shanghai,4345,6837,5159
2024/10/17,Shanghai,2908,6881,6638
2024/10/18,Shanghai,7365,3849,4935
2024/10/19,Shanghai,3713,4350,7249
2024/10/20,Shanghai,4199,2822,5609
2024/10/21,Shanghai,5545,7036,2892
2024/10/22,Shanghai,3030,4989,6776
2024/10/23,Shanghai,2574,5592,4881
2024/10/24,Shanghai,3766,8480,6930
2024/10/25,Shanghai,7178,6137,1912
2024/10/26,Shanghai,5446,9520,8261
2024/10/27,Shanghai,2323,5036,8675
2024/10/28,Shanghai,5982,5804,3779
2024/11/1,Shanghai,4968,8148,3745
2024/11/2,Shanghai,1974,5302,6535
2024/11/3,Shanghai,6417,8571,8471
2024/11/4,Shanghai,5182,9829,2810
2024/11/5,Shanghai,3615,4615,6326
2024/11/6,Shanghai,3039,4863,8878
2024/11/7,Shanghai,6620,6561,6605
2024/11/8,Shanghai,3870,5638,6780
2024/11/9,Shanghai,1140,2021,8557
2024/11/10,Shanghai,3209,6334,2616
2024/11/11,Shanghai,5321,2866,4032
2024/11/12,Shanghai,7445,6524,2938
2024/11/13,Shanghai,4350,3141,5946
2024/11/14,Shanghai,1032,2886,8857
2024/11/15,Shanghai,1584,5724,6639
2024/11/16,Shanghai,4406,7917,5188
2024/11/17,Shanghai,1559,6045,8213
2024/11/18,Shanghai,5476,7187,7743
2024/11/19,Shanghai,7793,5398,7876
2024/11/20,Shanghai,3084,4435,8340
2024/11/21,Shanghai,5858,5246,6670
2024/11/22,Shanghai,6856,9056,8833
2024/11/23,Shanghai,2944,5977,2903
2024/11/24,Shanghai,2493,3016,6517
2024/11/25,Shanghai,1101,6701,2800
2024/11/26,Shanghai,5339,4362,1502
2024/11/27,Shanghai,2980,2966,6124
2024/11/28,Shanghai,5042,7455,7086
2024/11/29,Shanghai,4926,9885,6245
2024/11/30,Shanghai,1173,5796,8322
2024/11/31,Shanghai,1113,4627,5896
2024/12/1,Shanghai,7652,4104,7763
2024/12/2,Shanghai,5657,8420,2591
2024/12/3,Shanghai,3554,9243,2823
2024/12/4,Shanghai,4190,5531,4159
2024/12/5,Shanghai,6257,8655,5235
2024/12/6,Shanghai,5374,7575,5708
2024/12/7,Shanghai,6344,8050,4246
2024/12/8,Shanghai,5870,6081,7800
2024/12/9,Shanghai,2605,4468,7043
2024/12/10,Shanghai,1648,9514,8817
2024/12/11,Shanghai,4943,2407,7399
2024/12/12,Shanghai,3669,5143,4500
2024/12/13,Shanghai,6796,7673,2825
2024/12/14,Shanghai,5129,6035,7609
2024/12/15,Shanghai,4887,3370,6041
2024/12/16,Shanghai,1122,9976,1932
2024/12/17,Shanghai,3350,6496,8284
2024/12/18,Shanghai,5488,2529,6586
2024/12/19,Shanghai,4275,6214,7960
2024/12/20,Shanghai,3006,2498,7683
2024/12/21,Shanghai,4469,8896,4037
2024/12/22,Shanghai,4267,6577,7605
2024/12/23,Shanghai,7014,3662,4655
2024/12/24,Shanghai,5516,5829,4630
2024/12/25,Shanghai,4610,3075,5060
2024/12/26,Shanghai,4179,5308,1869
2024/12/27,Shanghai,2174,9568,1507
2024/12/28,Shanghai,6126,4852,6992
2024/12/29,Shanghai,2368,8347,5031
2024/12/30,Shanghai,2380,4624,7231
2025/1/1,Shanghai,2936,7890,5729
2025/1/2,Shanghai,4483,2743,5959
2025/1/3,Shanghai,3937,6671,7924
2025/1/4,Shanghai,5754,2567,5662
