Date,Predicted Shipments,Predicted Revenue,Predicted Avg Delivery Time
2024/7/1,685,237242,11.209187201581646
2024/7/2,549,236365,6.631482181717303
2024/7/3,1452,215755,6.657764368168591
2024/7/4,531,85742,10.487037548662125
2024/7/5,1177,158709,8.529020193290581
2024/7/6,768,86077,5.382156994532404
2024/7/7,1095,54816,11.95495577962787
2024/7/8,879,192383,11.713720271357568
2024/7/9,1855,159593,7.365402829849382
2024/7/10,1841,62834,6.077986327488874
2024/7/11,1857,99388,7.322623130528772
2024/7/12,1998,144947,10.644623322329076
2024/7/13,664,128073,7.7056518960323075
2024/7/14,534,156502,11.607180501711689
2024/7/15,1622,172968,6.697138406469553
2024/7/16,599,145162,6.997872142033647
2024/7/17,592,219513,10.698367754619056
2024/7/18,1652,149783,11.43351491623681
2024/7/19,1501,205171,7.2691928462534845
2024/7/20,1744,196015,9.70199445168874
2024/7/21,1751,143239,8.778401797730107
2024/7/22,1225,89193,7.382334874109595
2024/7/23,1704,86033,5.4271758099741785
2024/7/24,1053,85410,6.700652294597513
2024/7/25,910,116164,10.848287110940054
2024/7/26,1600,53636,9.373413118841672
2024/7/27,1467,197639,7.9712644914101425
2024/7/28,1489,229752,6.504317147679258
2024/7/29,1282,81817,9.364279401113773
2024/7/30,1819,114224,9.512393507022647
