Date,Region,Active Shipments,Completed Shipments,Returned Shipments
2024/1/1,Anhui,31,53,10
2024/1/1,Beijing,112,200,25
2024/1/1,Chongqing,41,119,33
2024/1/1,Fujian,141,233,-10
2024/1/1,Guangdong,58,122,9
2024/1/1,Guangxi,17,37,4
2024/1/1,Heilongjiang,85,130,15
2024/1/1,Henan,60,163,38
2024/1/1,Hubei,112,152,39
2024/1/1,Hunan,84,164,69
2024/1/1,Jiangsu,105,187,-14
2024/1/1,Jilin,133,291,62
2024/1/1,Liaoning,89,194,13
2024/1/1,Shaanxi,77,159,43
2024/1/1,Shandong,167,261,58
2024/1/1,Shanghai,69,194,85
2024/1/1,Shenzhen,71,104,23
2024/1/1,Sichuan,46,71,1
2024/1/1,Yunnan,23,36,2
2024/1/1,Zhejiang,122,315,35
2024/1/2,Anhui,85,176,8
2024/1/2,Beijing,67,160,52
2024/1/2,Chongqing,117,168,30
2024/1/2,Fujian,103,264,78
2024/1/2,Guangdong,119,297,14
2024/1/2,Guangxi,37,69,-4
2024/1/2,Heilongjiang,148,254,25
2024/1/2,Henan,61,139,4
2024/1/2,Hubei,108,178,60
2024/1/2,Hunan,86,140,-7
2024/1/2,Jiangsu,108,189,-16
2024/1/2,Jilin,21,43,2
2024/1/2,Liaoning,150,224,48
2024/1/2,Shaanxi,92,166,52
2024/1/2,Shandong,121,279,17
2024/1/2,Shanghai,10,34,8
2024/1/2,Shenzhen,84,221,30
2024/1/2,Sichuan,76,162,30
2024/1/2,Yunnan,93,173,0
2024/1/2,Zhejiang,139,316,16
2024/1/3,Anhui,182,258,20
2024/1/3,Beijing,51,84,-3
2024/1/3,Chongqing,141,255,30
2024/1/3,Fujian,120,261,28
2024/1/3,Guangdong,75,147,48
2024/1/3,Guangxi,69,189,74
2024/1/3,Heilongjiang,78,116,12
2024/1/3,Henan,25,81,22
2024/1/3,Hubei,98,190,15
2024/1/3,Hunan,47,113,15
2024/1/3,Jiangsu,18,41,2
2024/1/3,Jilin,58,158,32
2024/1/3,Liaoning,28,88,23
2024/1/3,Shaanxi,71,156,40
2024/1/3,Shandong,21,32,4
2024/1/3,Shanghai,127,266,-10
2024/1/3,Shenzhen,14,35,14
2024/1/3,Sichuan,100,235,92
2024/1/3,Yunnan,130,274,76
2024/1/3,Zhejiang,101,178,46
2024/1/4,Anhui,81,188,2
2024/1/4,Beijing,68,153,74
2024/1/4,Chongqing,28,42,12
2024/1/4,Fujian,92,239,24
2024/1/4,Guangdong,40,63,19
2024/1/4,Guangxi,100,149,4
2024/1/4,Heilongjiang,19,47,20
2024/1/4,Henan,104,217,67
2024/1/4,Hubei,98,260,74
2024/1/4,Hunan,68,179,43
2024/1/4,Jiangsu,70,236,37
2024/1/4,Jilin,92,312,55
2024/1/4,Liaoning,52,72,14
2024/1/4,Shaanxi,162,293,-30
2024/1/4,Shandong,169,250,23
2024/1/4,Shanghai,74,153,70
2024/1/4,Shenzhen,81,212,47
2024/1/4,Sichuan,162,324,6
2024/1/4,Yunnan,72,152,29
2024/1/4,Zhejiang,10,29,13
2024/1/5,Anhui,58,94,24
2024/1/5,Beijing,62,87,23
2024/1/5,Chongqing,180,327,-39
2024/1/5,Fujian,134,217,25
2024/1/5,Guangdong,41,115,20
2024/1/5,Guangxi,134,248,-9
2024/1/5,Heilongjiang,123,183,7
2024/1/5,Henan,110,253,90
2024/1/5,Hubei,98,282,90
2024/1/5,Hunan,65,143,67
2024/1/5,Jiangsu,82,159,8
2024/1/5,Jilin,21,43,22
2024/1/5,Liaoning,179,317,-9
2024/1/5,Shaanxi,51,125,50
2024/1/5,Shandong,96,239,143
2024/1/5,Shanghai,127,317,42
2024/1/5,Shenzhen,82,176,-4
2024/1/5,Sichuan,83,179,-1
2024/1/5,Yunnan,65,88,21
2024/1/5,Zhejiang,87,203,60
2024/1/6,Anhui,106,328,51
2024/1/6,Beijing,112,190,65
2024/1/6,Chongqing,33,111,15
2024/1/6,Fujian,69,102,24
2024/1/6,Guangdong,117,205,0
2024/1/6,Guangxi,143,267,13
2024/1/6,Heilongjiang,91,189,27
2024/1/6,Henan,116,222,19
2024/1/6,Hubei,148,262,14
2024/1/6,Hunan,37,89,12
2024/1/6,Jiangsu,55,135,73
2024/1/6,Jilin,28,74,12
2024/1/6,Liaoning,13,34,13
2024/1/6,Shaanxi,52,120,23
2024/1/6,Shandong,51,109,26
2024/1/6,Shanghai,63,144,11
2024/1/6,Shenzhen,124,219,-7
2024/1/6,Sichuan,22,50,24
2024/1/6,Yunnan,82,155,-5
2024/1/6,Zhejiang,75,114,4
2024/1/7,Anhui,66,150,51
2024/1/7,Beijing,48,77,19
2024/1/7,Chongqing,57,98,-7
2024/1/7,Fujian,54,86,2
2024/1/7,Guangdong,84,278,57
2024/1/7,Guangxi,34,93,36
2024/1/7,Heilongjiang,75,199,12
2024/1/7,Henan,24,61,7
2024/1/7,Hubei,83,273,45
