Date,Region,Warehouse Capacity,Current Stock Level
2024/1/1,Beijing,22212,39523
2024/1/2,Beijing,40993,41579
2024/1/3,Beijing,41470,27891
2024/1/4,Beijing,18745,35648
2024/1/5,Beijing,16133,32874
2024/1/6,Beijing,26413,19327
2024/1/7,Beijing,46560,32084
2024/1/8,Beijing,44558,6228
2024/1/9,Beijing,15859,13850
2024/1/10,Beijing,20126,29388
2024/1/11,Beijing,49897,35900
2024/1/12,Beijing,15719,40064
2024/1/13,Beijing,43969,19389
2024/1/14,Beijing,46416,16367
2024/1/15,Beijing,36571,33813
2024/1/16,Beijing,44929,36865
2024/1/17,Beijing,31231,37478
2024/1/18,Beijing,24658,27043
2024/1/19,Beijing,31796,7561
2024/1/20,Beijing,11463,15458
2024/1/21,Beijing,12659,42574
2024/1/22,Beijing,48601,21977
2024/1/23,Beijing,36286,26964
2024/1/24,Beijing,13680,14073
2024/1/25,Beijing,20805,20293
2024/1/26,Beijing,45039,31268
2024/1/27,Beijing,45328,28770
2024/1/28,Beijing,10119,22275
2024/1/29,Beijing,28130,20387
2024/1/30,Beijing,16412,29648
2024/1/31,Beijing,29574,33889
2024/2/1,Beijing,11472,28236
2024/2/2,Beijing,18781,31452
2024/2/3,Beijing,30042,22748
2024/2/4,Beijing,47827,7567
2024/2/5,Beijing,40555,36080
2024/2/6,Beijing,39134,44711
2024/2/7,Beijing,45047,10399
2024/2/8,Beijing,24346,21850
2024/2/9,Beijing,30613,36237
2024/2/10,Beijing,13336,38769
2024/2/11,Beijing,32491,16603
2024/2/12,Beijing,48531,34080
2024/2/13,Beijing,35534,8023
2024/2/14,Beijing,30065,27966
2024/2/15,Beijing,10366,25719
2024/2/16,Beijing,23112,16226
2024/2/17,Beijing,10214,28366
2024/2/18,Beijing,16230,15191
2024/2/19,Beijing,37855,14834
2024/2/20,Beijing,38337,41720
2024/2/21,Beijing,24701,12088
2024/2/22,Beijing,44495,10257
2024/2/23,Beijing,32089,31250
2024/2/24,Beijing,17643,21135
2024/2/25,Beijing,28218,25059
2024/2/26,Beijing,23908,7985
2024/2/27,Beijing,12299,42518
2024/2/28,Beijing,13304,10274
2024/3/1,Beijing,35645,11464
2024/3/2,Beijing,21161,17708
2024/3/3,Beijing,13732,23457
2024/3/4,Beijing,43476,15635
2024/3/5,Beijing,41915,32159
2024/3/6,Beijing,28849,29649
2024/3/7,Beijing,28477,41092
2024/3/8,Beijing,31982,36848
2024/3/9,Beijing,37397,43369
2024/3/10,Beijing,37542,34328
2024/3/11,Beijing,17621,14991
2024/3/12,Beijing,29269,10474
2024/3/13,Beijing,16221,35252
2024/3/14,Beijing,14732,19444
2024/3/15,Beijing,48757,30868
2024/3/16,Beijing,17426,25523
2024/3/17,Beijing,20056,41255
2024/3/18,Beijing,30605,18067
2024/3/19,Beijing,20678,19991
2024/3/20,Beijing,10583,28564
2024/3/21,Beijing,47339,40608
2024/3/22,Beijing,10749,20292
2024/3/23,Beijing,27198,15356
2024/3/24,Beijing,33652,9201
2024/3/25,Beijing,11263,9085
2024/3/26,Beijing,41997,16972
2024/3/27,Beijing,35635,12276
2024/3/28,Beijing,29293,22852
2024/3/29,Beijing,42691,33070
2024/3/30,Beijing,38844,24092
2024/3/31,Beijing,47081,25135
2024/4/1,Beijing,47869,6673
2024/4/2,Beijing,44210,35759
2024/4/3,Beijing,37744,38906
2024/4/4,Beijing,23192,28312
2024/4/5,Beijing,43529,39531
2024/4/6,Beijing,23752,10627
2024/4/7,Beijing,14060,43596
2024/4/8,Beijing,12016,29264
2024/4/9,Beijing,41800,13991
2024/4/10,Beijing,27630,34117
2024/4/11,Beijing,25394,18567
2024/4/12,Beijing,19954,16115
2024/4/13,Beijing,31608,33693
2024/4/14,Beijing,49433,8072
2024/4/15,Beijing,43700,26628
2024/4/16,Beijing,27109,6349
2024/4/17,Beijing,17938,16807
2024/4/18,Beijing,14403,29362
2024/4/19,Beijing,45440,20518
2024/4/20,Beijing,20126,40016
2024/4/21,Beijing,31787,27623
2024/4/22,Beijing,42920,41728
2024/4/23,Beijing,29314,17821
2024/4/24,Beijing,35351,6458
2024/4/25,Beijing,16778,38313
2024/4/26,Beijing,23308,44371
2024/4/27,Beijing,32935,44541
2024/4/28,Beijing,26946,26902
2024/4/29,Beijing,43864,25846
2024/4/30,Beijing,27915,38445
2024/5/1,Beijing,26362,16419
